cliente_codigo,nome,segmento,porte,cidade,uf,vendedor_codigo,canal,ticket_medio_mensal,margem_bandeira
C-0001,AgroMar,alimenticio,G,Campo Mourão,PR,V-COR,cooperativa,1150000,verde
C-0002,NorteAgro,alimenticio,G,Maringá,PR,V-003,cooperativa,850000,verde
C-0003,Nova Era Cosméticos,cosmetico,G,Maringá,PR,V-003,externo,680000,amarela
C-0004,CoopFrigo,alimenticio,G,Medianeira,PR,V-COR,cooperativa,560000,verde
C-0005,Distribuidora Sul PR,distribuidor,G,Curitiba,PR,V-COR,externo,420000,verde
C-0006,CoopVale,alimenticio,M,Cascavel,PR,V-002,cooperativa,330000,verde
C-0007,Farmavida,farmaceutico,G,Curitiba,PR,V-001,interno,280000,verde
C-0008,Bell Beauty,cosmetico,M,São Paulo,SP,V-004,externo,245000,vermelha
C-0009,LogiPack,logistica,M,Joinville,SC,V-005,externo,200000,verde
C-0010,Distribuidora Oeste,distribuidor,M,Cascavel,PR,V-002,externo,160000,verde
C-0011,BioGenova,farmaceutico,M,São Paulo,SP,V-004,externo,135000,amarela
C-0012,Mercosul Atacado,distribuidor,M,Foz do Iguaçu,PR,V-002,externo,115000,amarela
C-0013,Aromatic,cosmetico,M,Joinville,SC,V-005,externo,98000,amarela
C-0014,Vale Norte Atacarejo,varejo,M,Maringá,PR,V-003,externo,85000,verde
C-0015,Naturalle,cosmetico,M,Cascavel,PR,V-002,externo,72000,verde
C-0016,Supermercados Avenida,varejo,P,Cascavel,PR,V-002,externo,55000,verde
C-0017,EnvioFácil,ecommerce,P,São José dos Pinhais,PR,V-005,externo,48000,verde
C-0018,Bom Sabor Alimentos,alimenticio,P,Toledo,PR,V-002,externo,42000,verde
C-0019,Padaria Aurora,outros,PP,Cascavel,PR,V-007,interno,5400,verde
C-0020,Padaria do Seu Joaquim,outros,PP,Toledo,PR,V-002,externo,6800,vermelha
C-0021,Atacadão Centro Oeste,distribuidor,P,Marechal Cândido Rondon,PR,V-006,externo,25221,amarela
C-0022,EssenciaPura,cosmetico,P,Chapecó,SC,V-002,externo,35310,vermelha
C-0023,Mercado Vale,varejo,P,Campinas,SP,V-005,externo,28008,vermelha
C-0024,Atacarejo Maringá,distribuidor,M,Londrina,PR,V-001,externo,52550,amarela
C-0025,Vivê Beauty,cosmetico,PP,Foz do Iguaçu,PR,V-006,interno,13226,vermelha
C-0026,Sabor da Terra,alimenticio,P,Apucarana,PR,V-006,externo,24721,amarela
C-0027,DistribuPlus,distribuidor,P,Apucarana,PR,V-003,interno,24018,vermelha
C-0028,Ciência da Vida Farma,farmaceutico,P,Francisco Beltrão,PR,V-006,externo,43205,amarela
C-0029,Salutar Farma Comércio,farmaceutico,M,Londrina,PR,V-001,externo,51911,amarela
C-0030,Sabor Forte Alimentos,alimenticio,P,Londrina,PR,V-002,externo,33244,amarela
C-0031,Comercial Bandeirantes,distribuidor,P,Porto Alegre,RS,V-003,externo,29115,vermelha
C-0032,Coopercana ME,alimenticio,PP,Curitiba,PR,V-005,externo,19088,verde
